county,total_EV_count,BEV_count,PHEV_count,avg_model_year,avg_electric_range,avg_vehicle_age,percent_BEV,percent_PHEV,BEV_to_PHEV_ratio,median_income_2025,total_chargers,level1_chargers,level2_chargers,dc_fast_chargers,fast_charger_share,chargers_per_1000_EV,total_EV_count_log,BEV_count_log,PHEV_count_log,total_chargers_log,level1_chargers_log,level2_chargers_log,dc_fast_chargers_log,chargers_per_1000_EV_log
FRANKLIN,-0.2634078065682215,-0.2573497067282784,-0.2863488765925821,0.2219596367813521,0.5171933488533897,-0.22195963678139796,0.31117918244211396,-0.3084750161049788,0.12985799512843121,-0.08266649565197876,-0.25073284568276993,-0.18534580717780674,-0.253599577939135,-0.22117111694946326,1.087480587556455,-0.3006014025127413,0.03534020916910467,0.05593988285886421,0.006922009587417945,-0.1289377407872502,-0.3540295275505272,-0.3520234734921489,0.4053829281790838,-0.1658266071641103
GARFIELD,-0.30809794217118397,-0.2974777644512831,-0.348813375421102,-3.707015510861141,-3.0471305067127528,3.7070155108604186,-4.224636855841954,4.22279715138571,-2.4602777655653645,-0.8466482539440735,-0.30748008429944534,-0.18534580717780674,-0.2830089848366262,-0.4630124317446707,-0.8492102759656434,-0.703653146334953,-2.5249112398396902,-2.7497974544312913,-2.2563533110974867,-2.091232356243826,-0.3540295275505272,-1.817485597666686,-1.0991622993947492,-2.165150089489322
GRANT,-0.26797057565775473,-0.2630623816124561,-0.2863830662471133,0.7111509982019829,-0.2554087080109616,-0.7111509982015757,-0.06232957259651529,0.06465956689740289,-0.32367145694127364,-0.529186355228503,-0.2223592263744322,-0.18534580717780674,-0.2477176965596368,-0.039790130853057645,1.4102623981434717,-0.030732878582229096,-0.01718313733913752,-0.016234837054943115,0.006640550158434941,0.11567915214253811,-0.3540295275505272,-0.24992917582216825,0.7139780489320329,0.39682834735416145
GRAYS HARBOR,-0.2646995494154866,-0.26217413033473336,-0.273767083725097,-0.4435246173383569,-0.9945556091464849,0.44352461733823356,-0.4674976848243214,0.4694217915107147,-0.7222189321701583,-1.2138677691758981,-0.18624734725472966,-0.18534580717780674,-0.1977217048339019,-0.10025045955185952,0.5105939473583833,0.18290264886230886,0.02103236819118602,-0.0042610547278052425,0.10136636448441488,0.33149158324318556,-0.3540295275505272,0.2611397685907535,0.6279835411654452,0.7192539416389894
ISLAND,-0.17829862058309254,-0.18256243248236592,-0.16097541342663657,-0.42983402000314214,0.3347591052079186,0.42983402000239834,0.21047957548391052,-0.20787628757727045,-0.0021619167806352915,0.616382115023019,-0.2610505254312564,-0.18534580717780674,-0.23007205242114212,-0.4630124317446707,-0.8492102759656434,-0.5897202474930535,0.5565957574073954,0.5510019689383783,0.5758307642948508,-0.24850634354518858,-0.3540295275505272,-0.01800592486348391,-1.0991622993947492,-1.2562566793769376
JEFFERSON,-0.2409828729455384,-0.2383742210992794,-0.25044973933481207,-1.698275133359365,-0.16347142265908027,1.6982751333592703,0.15957800641423903,-0.15702571046827138,-0.06598262102876427,0.24731152713518847,-0.2713682051797428,-0.18534580717780674,-0.24183581518013858,-0.4630124317446707,-0.8492102759656434,-0.5325645234183141,0.23392105969644958,0.23803946810595314,0.24095106840165556,-0.3964461560293715,-0.3540295275505272,-0.1624737858092021,-1.0991622993947492,-0.9596267721506382
KING,5.9051920980280395,5.919697720435422,5.830111939731749,0.5465189442096686,1.2688495645216238,-0.546518944210141,1.2863608670144733,-1.282718696698002,1.994585794775154,2.764729857290927,6.050790060705325,6.14446397525129,6.075304786400957,5.643480766834319,-0.41276736534230635,-0.3771275824486712,2.453209006872915,2.4314634707366047,2.3930927116468133,2.79674126470171,5.041881167461101,2.8756518526667363,2.2543256433733827,-0.37991566988603076
KITSAP,0.10334993409882555,0.08064732113695222,0.19220371788075838,-0.357861808967063,-0.10869739536042677,0.35786180896575776,0.5278138244494943,-0.5248926387680236,0.44289647886090916,2.0738971362915994,-0.010846791530460106,-0.18534580717780674,0.04343543172552537,-0.3823986601462682,-0.7257111484366982,-0.4737355309902755,1.1218641830162008,1.1120307393578885,1.1253321581605267,0.883719531310857,-0.3540295275505272,1.0662022169281677,-0.15509994464105312,-0.7101065427535908
KITTITAS,-0.26941510529340607,-0.25952679319328514,-0.307375514129276,1.244014010802792,1.6218398386311719,-1.2440140108036968,1.0731782238809822,-1.0697107053356105,1.4655354906178506,-0.008696718208030708,-0.18624734725472966,-0.18534580717780674,-0.2506586372493859,0.26251151264095174,1.87039817068241,0.2903208117707565,-0.0350561649017545,0.029720909804945555,-0.20341723835223655,0.33149158324318556,-0.3540295275505272,-0.29884689034564377,1.0189260351080511,0.8562600473494477
KLICKITAT,-0.288631516359979,-0.2806880736331509,-0.31889742770629365,0.2693424784520645,0.11240801468873267,-0.26934247845264614,-0.04370564404567425,0.046054295347703174,-0.3032402707127299,-0.4615918417751162,-0.28426530486535084,-0.18534580717780674,-0.25654051862888416,-0.4630124317446707,-0.8492102759656434,-0.3276785961206904,-0.3688765640239977,-0.35300647446878114,-0.3692282187054197,-0.6501994541072613,-0.3540295275505272,-0.4102718299303775,-1.0991622993947492,-0.23775716458896218
LEWIS,-0.2569282577698433,-0.2591871677047441,-0.24757780835419044,0.029669778966638874,-1.0216303719343987,-0.029669778967496785,-1.0653466444197093,1.0509949580000417,-1.1784230267004663,-0.05825649521290286,-0.18366792731760803,-0.18534580717780674,-0.25654051862888416,0.3229718413397536,2.035652156155816,0.06488854434890756,0.10141626183934319,0.03390832271650695,0.25581807010943225,0.3443958061395082,-0.3540295275505272,-0.4102718299303775,1.0646566320149,0.5507257559435923
LINCOLN,-0.3049727578632845,-0.29540517813659667,-0.3415651686604856,-0.6277955848982878,-1.8108376004810507,0.627795584897802,-2.0068185222744437,2.007200574579466,-1.714335626540791,-1.3815840929095646,-0.28168588492822927,-0.18534580717780674,-0.280068044146877,-0.28163144564826514,2.346329648845819,1.7450148953497653,-1.235461352294623,-1.3186828151935597,-1.065827200648278,-0.5905512328864793,-0.3540295275505272,-1.3938720432667304,0.2514855809109314,1.9845223210721166
MASON,-0.25011535597862244,-0.24769215116950835,-0.2588262046949584,-0.44588720995646736,-0.19552556753899955,0.4458872099558281,-0.04580629892811405,0.04815284584489113,-0.305555122766019,0.21818602520698577,-0.25589168555701314,-0.18534580717780674,-0.2241901710416439,-0.4630124317446707,-0.8492102759656434,-0.4209010689938094,0.16245507833249723,0.15733738097379854,0.19499507108615158,-0.18587084869244463,-0.3540295275505272,0.043159597849476934,-1.0991622993947492,-0.5196152892195046
OKANOGAN,-0.29215950220089665,-0.2840669118268414,-0.3230001862500388,1.0479046466345836,-0.11843763675597876,-1.0479046466352566,-0.24718189631678636,0.2493267100310376,-0.515827520024784,-1.5094452226670063,-0.26878878524262123,-0.10720000739473147,-0.23889487449038946,-0.4630124317446707,-0.8492102759656434,0.05964998731172161,-0.46562025382621675,-0.45817304642660306,-0.4438500959021201,-0.356055843116529,0.8097522765034999,-0.12303138006686386,-1.0991622993947492,0.5427340270187264
PACIFIC,-0.294180454720005,-0.2876286252835925,-0.31896580701535604,0.49903453295572636,-1.1909927311777508,-0.4990345329559183,-1.4737701211811682,1.47468616848086,-1.4384742453484114,-0.805294572579653,-0.27910646499110764,-0.18534580717780674,-0.2506586372493859,-0.4630124317446707,-0.8492102759656434,-0.06397166184381278,-0.5310584297674029,-0.602336729666852,-0.3703882206563148,-0.5360966733204633,-0.3540295275505272,-0.29884689034564377,-1.0991622993947492,0.3389377422167119
PEND OREILLE,-0.30437550041777484,-0.2941337596410327,-0.34361654793235813,1.563703555159292,-0.08450534086144218,-1.5637035551600518,0.06680583117056131,-0.0643464721457484,-0.17761477907314516,-0.7928620242752409,-0.30232124442520214,-0.18534580717780674,-0.27712710345712793,-0.4630124317446707,-0.8492102759656434,-0.28780917013305707,-1.1553905427237743,-1.1019088558212848,-1.218614667804799,-1.403684929884112,-0.3540295275505272,-1.1460739991455549,-1.0991622993947492,-0.13313329347893416
PIERCE,0.6658483852506429,0.6001349850710069,0.9217767559222396,0.48939907222829127,0.0605130064307018,-0.48939907222916357,0.5535931330470428,-0.5508115703067951,0.4832715004472406,1.406686975299902,0.49214009620825405,0.010018692279881445,0.4669308910493976,0.6454269277333635,-0.21926512949743385,-0.4417384985924098,1.5443554841807627,1.5193968609694928,1.5695654538157178,1.5009173814865895,1.5440168433462533,1.5714228375329582,1.2620241536569454,-0.5915657068702986
SAN JUAN,-0.24679571575823142,-0.23815651245277872,-0.2799212215407147,-2.9316028622090946,0.26395106973381,2.9316028622081145,0.9614551231561856,-0.958099526110726,1.222033061322208,0.3306509316033628,-0.25073284568276993,-0.10720000739473147,-0.2183082896621457,-0.4630124317446707,-0.8492102759656434,-0.4094039949089415,0.18965248797651113,0.23976924906589914,0.05730472776039448,-0.1289377407872502,0.8097522765034999,0.09875656108704074,-1.0991622993947492,-0.48149995475709484
SKAGIT,-0.1739303074060508,-0.17454204594528097,-0.17095879254974977,-0.09189602301680976,0.4523809279567627,0.09189602301625518,0.4969752706826367,-0.49408497831839754,0.39569447811872027,0.8350306865632947,-0.04953809058728427,-0.1462729072862691,-0.08008407724393737,0.1617442981429486,0.25147569813608267,-0.0912647144766346,0.572801964943534,0.5827704570902669,0.547513017633742,0.7970606898325218,0.3802350392922262,0.7789617670646544,0.9337653283651728,0.2894723152879988
SKAMANIA,-0.2963958631516048,-0.28690583257721025,-0.3327100481369023,0.6473654905953513,0.7820257731308414,-0.6473654905964318,0.2949509861581051,-0.2922630768354744,0.1080440008744902,0.7161826809481832,-0.28168588492822927,-0.18534580717780674,-0.253599577939135,-0.4630124317446707,-0.8492102759656434,-0.014208508652926622,-0.6145112395196233,-0.5692986953617011,-0.6800270035548199,-0.5905512328864793,-0.3540295275505272,-0.3520234734921489,-1.0991622993947492,0.424709423009754
SNOHOMISH,1.1180694994577143,1.1442846844806582,1.011763926648383,0.9309352004407355,0.847955540691123,-0.9309352004415562,1.381144015057918,-1.3773679838321196,2.2618490143396373,1.8827476038978284,0.4121780781574841,-0.18534580717780674,0.28753350897470176,1.2500302147213822,0.2325137129191608,-0.5426626708118324,1.7313917294108294,1.7427150423515472,1.6051831150376084,1.4352028836480544,-0.3540295275505272,1.4050826360353155,1.5136639332319972,-1.0075136042192734
SPOKANE,0.007260933911943076,-0.027910918354145206,0.14536389117300125,0.638284826551418,-0.6365078694699661,-0.6382848265517258,-0.0674407520311433,0.06976562607610479,-0.32924265802695674,0.5609707284438528,0.16455376419380943,-0.1462729072862691,0.164014000005239,0.1617442981429486,-0.24774253055486423,-0.22638838435159167,0.9914912744784335,0.9525926664402659,1.0782413636302783,1.172444644058223,0.3802350392922262,1.2568422620353734,0.9337653283651728,0.013670236145437843
STEVENS,-0.2933192928218282,-0.2860611230287876,-0.3208804276691038,-0.22300491876891235,-1.0147513118208695,0.2230049187678933,-0.8800055353580676,0.881516401657669,-1.054468734719976,-0.7422000918406205,-0.2945829846138373,-0.18534580717780674,-0.2683042813878806,-0.4630124317446707,-0.8492102759656434,-0.4295654191898551,-0.5021004319661925,-0.5334118701208578,-0.40396379825951517,-0.9698908016022877,-0.3540295275505272,-0.7224604447455993,-1.0991622993947492,-0.5490682212908667
THURSTON,0.09042556077215684,0.06348317144683888,0.1958278212610666,-0.15553324351104478,-0.09138452343361135,0.1555332435103594,0.40491666065154835,-0.4029269799689869,0.2609884883925081,1.2446289921789155,0.10522710564001239,-0.18534580717780674,0.06402201655376916,0.38343217003855545,0.08282220210436662,-0.3733998230773256,1.1062185608332606,1.0901427466889522,1.1288042237214095,1.0888763404044173,-0.3540295275505272,1.1032526619881435,1.1070784076800129,-0.36866106215591626
WAHKIAKUM,-0.304840805636951,-0.2947781772346747,-0.34337722035063967,0.484891849998087,1.020338774337503,-0.4848918499986954,-0.5698659654512878,0.5716875220702664,-0.8107545690791923,-0.15043273118950232,-0.30232124442520214,-0.18534580717780674,-0.27712710345712793,-0.4630124317446707,-0.8492102759656434,-0.23241842181192982,-1.2166123864205731,-1.1994023181716789,-1.1983007581674465,-1.403684929884112,-0.3540295275505272,-1.1460739991455549,-1.0991622993947492,-5.551640339517287e-05
WALLA WALLA,-0.27760308818010265,-0.27233676995338496,-0.2973921350061628,0.047621029845397386,-0.38568459408686134,-0.047621029845485524,-0.3753700223211927,0.37738642027146824,-0.638673944350038,-0.4945324468881658,-0.18882676719185126,-0.18534580717780674,-0.15066665379791608,-0.44285898884507013,-0.7720233212600526,0.5283727357004947,-0.15089609910208074,-0.1636974619863643,-0.09295769911304763,0.318315672633614,-0.3540295275505272,0.5223701154869963,-0.6925767738427647,1.117888384284046
WHATCOM,-0.010378995292645061,-0.020909408282683443,0.031033686420636416,-0.9519702008892345,-0.06633244873904581,0.951970200888418,0.6188426270651214,-0.6158302509310243,0.5878599852349294,0.38081793879168674,-0.008267371593338495,-0.18534580717780674,-0.03596996689770068,0.18189774104254922,0.130265563057027,-0.38321397300827004,0.9632793004822328,0.964672822032989,0.9414546652631951,0.8890915182660574,-0.3540295275505272,0.8976192783294644,0.9518153347159471,-0.3984954956549563
WHITMAN,-0.28704114478995907,-0.28060099017455065,-0.31140989336395875,0.6273128831927856,-1.218703308537949,-0.6273128831933681,-0.5987808886941263,0.600573479042403,-0.8349865104851736,-1.4105339551395428,-0.24041516593428347,-0.18534580717780674,-0.21242640828264744,-0.4227055459454695,-0.5760872054689372,0.30137094487706556,-0.33081293241195386,-0.35058335555120457,-0.2556778612261767,-0.02859007716468326,-0.3540295275505272,0.1497148290060195,-0.4547394880588504,0.8695958374476778
YAKIMA,-0.2355519971038109,-0.23543950854445025,-0.23523534306842378,0.5524690680579663,-0.083035517820937,-0.5524690680592009,-0.07446208778639882,0.07677992802703501,-0.33687089039076157,-0.44568241096868344,-0.11660300895244616,-0.18534580717780674,-0.12125724690042496,-0.08009701665225889,0.06243024312471362,0.13319317600264105,0.2719557514780341,0.26083926551938863,0.3152802898272873,0.6107926178253688,-0.3540295275505272,0.6425886625282127,0.6580711064629157,0.6508146706199489
